Cod_Cliente,min,max
1599592,100.0,1700.0
1599596,18.0,600.0
1599597,6.93,1824.76
1599598,30.0,960.0
1599600,1.0,2100.0
1599603,1.0,200.0
1599613,20.0,1314.0
1599614,5.0,1000.0
1599621,15.0,3500.0
1599623,1.0,1502.04
1599624,5.0,2000.0
1599625,3.25,503.28
1599627,4.0,5000.0
1599628,50.0,1118.0
1599632,5.0,1657.0
1599633,130.03,3041.03
1599636,35.0,3500.0
1599639,12.0,500.0
1599641,30.0,795.0
1599643,2.0,4000.0
1599644,12.0,2500.0
1599645,1.0,2000.0
1599649,30.0,3000.0
1599650,16.0,2020.0
1599651,4.0,1000.0
1599653,1.0,220.0
1599654,20.0,285.0
1599656,5.0,4540.0
1599658,24.5,1000.0
1599672,15.0,1212.89
1599675,30.0,1155.0
1599678,2.5,10000.0
1599682,3.6,1800.0
1599683,20.0,5000.0
1599685,5.0,855.0
1599687,40.0,1200.0
1599688,5.0,300.0
1599689,35.73,1500.0
1599690,10.0,810.0
1599691,30.0,2500.0
1599694,2.0,600.0
1599698,1.0,1023.0
1599701,11.0,3750.0
1599704,4.95,1731.0
1599707,12.0,1500.0
1599709,45.0,760.0
1599712,12.48,1513.65
1599713,10.0,1300.0
1599717,25.0,5000.0
1599722,10.0,1000.0
1599725,10.0,4188.05
1599727,1.0,478.3
1599728,2.0,1500.0
1599729,5.0,740.0
1599732,10.0,2500.0
1599734,5.0,500.0
1599736,40.0,2000.0
1599737,130.0,2000.0
1599738,5.0,2223.64
1599739,4.25,1450.0
1599740,2.0,700.0
1599741,5.0,5180.0
1599742,5.0,750.0
1599743,25.5,3102.0
1599748,310.0,5000.0
1599753,4.99,2645.87
1599759,40.0,1900.0
1599761,5.0,1911.0
1599763,1.0,1000.0
1599765,10.0,1000.0
1599767,4.0,3000.0
1599769,5.88,2500.0
1599770,50.0,1000.0
1599771,30.0,500.0
1599776,1.0,3000.0
1599780,1.0,708.0
1599782,20.0,1000.0
1599786,20.0,1800.0
1599787,81.0,4000.0
1599788,7.0,280.0
1599789,6.0,700.0
1599790,1.0,500.0
1599792,5.0,500.0
1599805,30.0,890.0
1599807,1.0,1000.0
1599810,4.53,1812.0
1599812,11.09,2260.0
1599813,20.0,1156.8
1599815,20.0,1015.4
1599817,15.0,360.0
1599819,1.0,1487.0
1599821,10.0,5000.0
1599824,20.0,500.0
1599826,30.0,1500.0
1599830,18.0,3100.0
1599833,16.0,2245.0
1599834,50.0,900.0
1599838,3.0,2000.0
1599840,5.0,2800.0
1599841,50.0,500.0
1599842,3.0,780.0
1599844,20.0,373.0
1599846,100.0,200.0
1599849,20.0,853.0
1599851,32.0,1200.0
1599854,2.5,816.0
1599855,30.0,8300.0
1599860,11.0,3400.0
1599864,1.0,1496.0
1599865,10.0,1325.14
1599867,12.0,5000.0
1599874,30.0,5000.0
1599875,15.0,800.0
1599879,4.63,3000.0
1599881,20.0,1205.0
1599884,5.0,5000.0
1599885,50.0,1000.0
1599889,60.0,450.0
1599891,5.0,2000.0
1599892,1.0,110.0
1599893,73.67,1000.0
1599894,1.0,500.0
1599899,12.0,900.0
1599900,20.0,10000.0
1599902,2.36,640.0
1599904,2.0,310.0
1599905,1.0,1130.1
1599906,15.0,1073.0
1599911,3.93,312.36
1599914,10.0,500.0
1599915,7.0,5000.0
1599919,20.0,2740.0
1599921,5.0,900.0
1599922,2.0,1910.0
1599923,6.0,1090.0
1599924,20.0,250.0
